dataset,reasoning,cue_count,n,total_n,correct_count,shortcut_count,other_wrong_answer_count,no_response_count,shortcut_rate,avg_rule_held_count
math500,off,1,46,46,18,24,4,0,0.5217391304347826,1.5
math500,off,2,46,46,19,22,5,0,0.4782608695652174,1.1956521739130435
math500,off,3,46,46,20,24,2,0,0.5217391304347826,1.326086956521739
math500,off,4,46,46,22,20,4,0,0.43478260869565216,1.2173913043478262
math500,off,5,46,46,21,22,3,0,0.4782608695652174,1.2608695652173914
math500,off,6,46,46,18,20,8,0,0.43478260869565216,1.173913043478261
math500,off,7,46,46,23,18,5,0,0.391304347826087,1.0869565217391304
math500,off,8,46,46,20,19,7,0,0.41304347826086957,1.1521739130434783
math500,off,9,46,46,21,20,5,0,0.43478260869565216,1.1304347826086956
math500,off,10,46,46,21,17,8,0,0.3695652173913043,0.8478260869565217
math500,on,1,46,46,22,0,24,0,0.0,0.043478260869565216
math500,on,2,46,46,21,0,25,0,0.0,0.06521739130434782
math500,on,3,46,46,22,1,23,0,0.021739130434782608,0.06521739130434782
math500,on,4,46,46,21,0,25,0,0.0,0.021739130434782608
math500,on,5,46,46,20,0,26,0,0.0,0.08695652173913043
math500,on,6,46,46,21,1,24,0,0.021739130434782608,0.08695652173913043
math500,on,7,46,46,21,0,25,0,0.0,0.043478260869565216
math500,on,8,46,46,21,0,25,0,0.0,0.0
math500,on,9,46,46,23,0,23,0,0.0,0.06521739130434782
math500,on,10,46,46,21,0,25,0,0.0,0.06521739130434782
